horizon_days,target,cell,selected_algorithm,n_train,n_test,RMSE,MAE,R2,NSE,KGE,R2_reference_learner
30,snowc,36,Extra Trees,19321,4018,16.869658783735666,7.0906483581706805,0.8717114076108788,0.8717114192771551,0.8942672722962823,0.8720923662185669
30,snowc,37,Extra Trees,19321,4018,17.892228287586526,7.5277560430834,0.8553479003491872,0.8553478858472626,0.887004379603889,0.8553692698478699
30,snowc,38,Extra Trees,19321,4018,17.939043790037708,7.650127289177233,0.8525350939388272,0.8525350853319374,0.8841881202115807,0.857485294342041
30,snowc,39,Extra Trees,19321,4018,14.006314861224022,5.417017424653527,0.9158365586860916,0.9158365669989763,0.9188420443731113,0.9158226847648621
30,snowc,40,Extra Trees,19321,4018,16.372906200685744,6.184493046698885,0.8853302981168355,0.8853303068629305,0.9013479212463512,0.8847070336341858
30,snowc,41,Extra Trees,19321,4018,16.96984405155059,6.696909162279637,0.875063433981357,0.8750634365535491,0.8945849043861992,0.8748098611831665
30,snowc,42,Extra Trees,19321,4018,14.236570231308821,5.776736961354187,0.9119911466245237,0.9119911418605278,0.916678884687543,0.9108337163925171
30,snowc,43,Extra Trees,19321,4018,12.331929125373172,4.963747849414681,0.9355675108263324,0.9355675082493512,0.9293698701436366,0.9355003237724304
30,snowc,44,Extra Trees,19321,4018,12.542839716209288,4.844832293232986,0.9344209541356711,0.9344209529588228,0.9287376582430645,0.9355983734130859
30,snowc,45,Extra Trees,19321,4018,12.7956210388362,4.978633302944469,0.9314047244167803,0.9314047206605286,0.9270003105890982,0.9316397309303284
30,snowc,46,Extra Trees,19321,4018,13.317047509235923,5.233801916262435,0.9254421806622468,0.9254421798178067,0.923693941792689,0.9269770979881287
30,snowc,47,Extra Trees,19321,4018,15.801092114628876,6.511491058981127,0.891377555145549,0.8913775742236049,0.9041314879532284,0.8937337398529053
30,snowc,48,Extra Trees,19321,4018,17.007322385556186,7.096928984961709,0.8727484254325678,0.8727484210283667,0.8927983553200458,0.875626802444458
30,snowc,49,Extra Trees,19321,4018,17.786176603130674,7.631803079157302,0.8579813025312305,0.8579813272089745,0.8857730150100847,0.8605573177337646
30,snowc,50,Extra Trees,19321,4018,18.225256709455564,7.924171355386624,0.8489074377514128,0.8489074292910681,0.8815695523779625,0.8472485542297363
30,snowc,51,Extra Trees,19321,4018,14.455509060534636,5.716985461162761,0.9105482658196092,0.9105482763233679,0.9138956192071619,0.9085316061973572
30,snowc,52,Extra Trees,19321,4018,13.95472782981385,5.76852719881516,0.9153925325494421,0.9153925310610237,0.9167752154360929,0.9147746562957764
30,snowc,53,Extra Trees,19321,4018,14.60322020964266,6.119693161282853,0.9070232064176744,0.9070231922934325,0.9122429409468562,0.9070125818252563
30,snowc,54,Extra Trees,19321,4018,15.543107615505681,6.372989098504182,0.895573914309069,0.8955739236085638,0.9045162641391822,0.8957012891769409
30,snowc,55,Extra Trees,19321,4018,14.400155343012331,5.831392574495443,0.9115836843834281,0.9115836829763533,0.9135273242649561,0.9123407602310181
30,snowc,56,Extra Trees,19321,4018,13.398472496345065,5.556458232429293,0.9234737267483647,0.9234737314267679,0.9202402771736864,0.9245331287384033
30,snowc,57,Extra Trees,19321,4018,13.104928773926538,5.506806619430317,0.9264566095453977,0.9264566082006264,0.9239299833815416,0.9262135624885559
30,snowc,58,Extra Trees,19321,4018,14.103294750654566,6.176325405188692,0.9124855730765555,0.9124855680867181,0.918301021799028,0.911807656288147
30,snowc,59,Extra Trees,19321,4018,16.181600664609647,7.12671069082008,0.8823823591053457,0.8823823632597487,0.9008150990591997,0.8813755512237549
30,snowc,60,Extra Trees,19321,4018,18.425464780443015,7.997539718643179,0.8478110719985918,0.847811067654511,0.8796659990084849,0.8454103469848633
30,snowc,61,Extra Trees,19321,4018,19.06443397795369,8.514519690888251,0.8322304328656093,0.8322304129591593,0.8685919706694036,0.8270270824432373
30,snowc,62,Extra Trees,19321,4018,19.43552457188486,8.735067915223414,0.8248753198353642,0.8248753018597474,0.8657572058601335,0.8230764865875244
30,snowc,63,Extra Trees,19321,4018,13.274584429736885,5.38817438796072,0.9245373903953192,0.9245373951036313,0.9211876367211891,0.924229085445404
30,snowc,64,Extra Trees,19321,4018,12.78630808155997,5.130760209214247,0.9293883579876712,0.9293883586658224,0.9246951356337645,0.9286726117134094
30,snowc,65,Extra Trees,19321,4018,12.995660624063188,5.263138141405021,0.9269136122652496,0.9269136060844828,0.9237462276047952,0.9252423048019409
30,snowc,66,Extra Trees,19321,4018,12.885238910903995,5.455104537910648,0.9272625291542766,0.9272625353735688,0.9241316342943042,0.9254934191703796
30,snowc,67,Extra Trees,19321,4018,14.569492542907598,6.115358868164622,0.908344008549513,0.908344011950766,0.9086030349259132,0.9072319269180298
30,snowc,68,Extra Trees,19321,4018,16.54157070402087,7.203152176616039,0.8791803418192793,0.8791803454135944,0.8912967970833598,0.8765905499458313
30,snowc,69,Extra Trees,19321,4018,16.811086335256668,7.590903727677826,0.8725713391429331,0.8725713299439848,0.8903639623789499,0.8720932006835938
30,snowc,70,Extra Trees,19321,4018,17.625078666512408,7.986870103026583,0.8587145853827574,0.8587145914175021,0.8841525377449635,0.8551386594772339
30,snowc,71,Extra Trees,19321,4018,18.480945486200824,8.381310663864872,0.8448004432168426,0.8448004506849187,0.8774466895687109,0.8394655585289001
30,snowc,72,Extra Trees,19321,4018,18.266385063103318,8.108254062839388,0.8506262452362467,0.8506262428326202,0.8816431975658277,0.8483136296272278
30,snowc,73,Extra Trees,19321,4018,18.562310092597915,8.247629790444952,0.8439612921771921,0.8439612808354688,0.8792429080794355,0.8377049565315247
