year,snowc,sd,smlt_mm,t2m_C_bc,snw_mm_raw,model,scenario
2046,45.053333,0.1319976,771.85785,6.419055732004918,0.6555931,bcc_csm2_mr,SSP5-8.5
2047,44.57814,0.14494526,742.7285,5.74927190512955,1.9058318,bcc_csm2_mr,SSP5-8.5
2048,45.973682,0.12845044,369.56268,5.288267843998293,9.804129,bcc_csm2_mr,SSP5-8.5
2049,42.499546,0.12743628,784.4005,6.0379577698142475,0.9746254,bcc_csm2_mr,SSP5-8.5
2050,49.296375,0.14906386,895.5392,6.03448187042644,1.0907851,bcc_csm2_mr,SSP5-8.5
2051,41.562374,0.13859335,473.14105,6.040597426548235,0.703407,bcc_csm2_mr,SSP5-8.5
2052,40.34125,0.12937061,455.51462,6.778469263498544,0.5557061,bcc_csm2_mr,SSP5-8.5
2053,43.039764,0.1338103,735.4525,6.690715994941953,4.0158286,bcc_csm2_mr,SSP5-8.5
2054,42.383015,0.1538982,660.4453,6.817883564291264,1.9518296,bcc_csm2_mr,SSP5-8.5
2055,45.225315,0.13862473,877.62933,6.401903525519097,0.5714769,bcc_csm2_mr,SSP5-8.5
2056,42.940273,0.14753641,672.3454,6.367517407272426,2.576022,bcc_csm2_mr,SSP5-8.5
2057,47.002167,0.15452845,939.0371,5.996532437555675,0.106945395,bcc_csm2_mr,SSP5-8.5
2058,36.830593,0.13522442,434.7961,6.766417288295206,1.4552895,bcc_csm2_mr,SSP5-8.5
2059,42.355423,0.1345169,771.9412,6.185367303552379,0.30726996,bcc_csm2_mr,SSP5-8.5
2060,42.514114,0.13609608,586.25665,6.846213549106704,1.3957759,bcc_csm2_mr,SSP5-8.5
2061,46.38878,0.122145414,718.6328,6.249715334585329,0.30383715,bcc_csm2_mr,SSP5-8.5
2062,45.58926,0.14067356,554.0419,6.021471126645107,0.7083159,bcc_csm2_mr,SSP5-8.5
2063,38.14996,0.12596758,478.4978,7.22776555253517,0.31708857,bcc_csm2_mr,SSP5-8.5
2064,40.08203,0.1260084,583.14954,7.300562289846337,0.45556974,bcc_csm2_mr,SSP5-8.5
2065,43.740723,0.1357087,753.2203,6.615785841614504,1.8721713,bcc_csm2_mr,SSP5-8.5
2066,33.42655,0.12255633,440.54712,7.715258062134882,0.041273426,bcc_csm2_mr,SSP5-8.5
2067,40.0238,0.111957304,716.3567,8.424163128656184,0.26053417,bcc_csm2_mr,SSP5-8.5
2068,39.59519,0.1259726,700.2022,7.4134124684928056,0.63593626,bcc_csm2_mr,SSP5-8.5
2069,47.69278,0.13365906,628.0085,7.069169922259683,0.9839284,bcc_csm2_mr,SSP5-8.5
2070,47.615036,0.12493964,943.0779,7.989443181292258,0.7134585,bcc_csm2_mr,SSP5-8.5
2071,41.11423,0.122074865,798.45825,8.60819437584628,0.28853574,bcc_csm2_mr,SSP5-8.5
2072,39.730865,0.12101864,511.6654,7.511078404450443,0.121787034,bcc_csm2_mr,SSP5-8.5
2073,40.766006,0.11173442,531.65265,7.170467663957051,0.10582289,bcc_csm2_mr,SSP5-8.5
2074,42.06828,0.14570808,784.56866,8.980668833102287,1.2511533,bcc_csm2_mr,SSP5-8.5
2075,42.20858,0.14911155,828.55145,7.361748883504433,0.58988196,bcc_csm2_mr,SSP5-8.5
2076,41.46034,0.13960285,706.55695,7.355105114415743,0.4929365,bcc_csm2_mr,SSP5-8.5
2077,38.85178,0.12251019,731.16815,7.640713179762848,0.59051126,bcc_csm2_mr,SSP5-8.5
2078,42.850178,0.11836194,714.7771,7.72261339760183,0.27445808,bcc_csm2_mr,SSP5-8.5
2079,37.501713,0.12777258,451.20038,7.706828695354626,2.1215076,bcc_csm2_mr,SSP5-8.5
2080,43.959415,0.12393365,702.69244,7.891808358613076,0.6213252,bcc_csm2_mr,SSP5-8.5
2081,39.603447,0.13353808,753.632,8.88513610199764,0.14441435,bcc_csm2_mr,SSP5-8.5
2082,37.608917,0.094230056,616.35126,8.70086300774904,0.5142843,bcc_csm2_mr,SSP5-8.5
2083,38.72172,0.13964005,593.53784,9.045534479207193,0.5796092,bcc_csm2_mr,SSP5-8.5
2084,37.763237,0.12079081,722.8918,9.033555730599916,1.5980396,bcc_csm2_mr,SSP5-8.5
