horizon_days,target,method,RMSE,MAE,R2,NSE,KGE,family,configuration
30,smlt_mm,Training target-DOY climatology,3.876038062639891,1.5764334484283955,0.41348599414635623,0.41348599414635623,0.6100356153381843,Minimal baseline,
1,snowc,Lagged linear regression,4.976384040977973,1.1366432029130005,0.9896247334424768,0.9896247334424768,0.9930416098974805,Classical baseline,"lags [0, 1, 2, 3, 5, 7, 14, 30]"
1,snowc,Seasonal AR with annual harmonics,4.891336726854283,1.344355238715165,0.9899763335022317,0.9899763335022317,0.9922826838707297,Classical baseline,"lags [0, 1, 2, 3, 5, 7, 14, 30], 2 harmonics"
1,snowc,Exponential smoothing,5.404716120336694,0.9277740938259278,0.9877618080224074,0.9877618080224074,0.9938714336625052,Classical baseline,alpha=0.95
1,snowc,"SARIMAX(3, 0, 1) with Fourier seasonality",4.891031017757253,1.3379431242109538,0.9899775864236495,0.9899775864236495,0.9929785295836131,Classical baseline,"2 Fourier pairs, iterated"
1,sd,Lagged linear regression,0.0046960970090713676,0.0022408070843380145,0.9994703034358459,0.9994703034358459,0.9993968930000565,Classical baseline,"lags [0, 1, 2, 3, 5, 7, 14, 30]"
1,sd,Seasonal AR with annual harmonics,0.004656231591096605,0.002252447318597038,0.9994792585085472,0.9994792585085472,0.9987096244611628,Classical baseline,"lags [0, 1, 2, 3, 5, 7, 14, 30], 2 harmonics"
1,sd,Exponential smoothing,0.008002295567122144,0.0034389059110246775,0.9984619083560946,0.9984619083560946,0.9992122518153456,Classical baseline,alpha=0.95
1,sd,"SARIMAX(3, 0, 1) with Fourier seasonality",0.004757328243067472,0.0024560315877437343,0.9994564002207115,0.9994564002207115,0.9990209098169964,Classical baseline,"2 Fourier pairs, iterated"
1,smlt_mm,Lagged linear regression,1.3867372791620212,0.5125259283646049,0.924925801813682,0.924925801813682,0.9481015515780319,Classical baseline,"lags [0, 1, 2, 3, 5, 7, 14, 30]"
1,smlt_mm,Seasonal AR with annual harmonics,1.3753214994994416,0.5531442607133448,0.9261567529551362,0.9261567529551362,0.9486960834254429,Classical baseline,"lags [0, 1, 2, 3, 5, 7, 14, 30], 2 harmonics"
1,smlt_mm,Exponential smoothing,1.4020069917123603,0.4495071035700979,0.9232633775313078,0.9232633775313078,0.9615117843895808,Classical baseline,alpha=0.95
1,smlt_mm,"SARIMAX(3, 0, 1) with Fourier seasonality",1.3747013833116126,0.5576430603765379,0.9262233280351775,0.9262233280351775,0.9438203496982632,Classical baseline,"2 Fourier pairs, iterated"
1,smlt_mm,"Degree-day, climatological target-date T",4.073546916045029,1.7377481437063138,0.35218982330132576,0.35218982330132576,0.37302026060249505,Classical baseline,"Tb=-5.0 C, DDF=0.86 mm/C/day, issue-day snow gate"
1,smlt_mm,"Degree-day, observed target-date T (oracle)",3.92112624424633,1.8146147536067099,0.3997613299322048,0.3997613299322048,0.4946182196319614,Classical baseline,"Tb=-5.0 C, DDF=0.88 mm/C/day, target-day snow gate"
7,snowc,Lagged linear regression,16.689600693910883,7.436795040453583,0.8833020093704651,0.8833020093704651,0.9081592711936309,Classical baseline,"lags [0, 1, 2, 3, 5, 7, 14, 30]"
7,snowc,Seasonal AR with annual harmonics,14.83940704869176,8.001108248044497,0.9077418840193308,0.9077418840193308,0.9203055683213373,Classical baseline,"lags [0, 1, 2, 3, 5, 7, 14, 30], 2 harmonics"
7,snowc,Exponential smoothing,17.075501779711942,4.487893012642721,0.8778429783947771,0.8778429783947771,0.9389020738951661,Classical baseline,alpha=0.95
7,snowc,"SARIMAX(3, 0, 1) with Fourier seasonality",15.048899118548865,8.061631342616403,0.9051186298180257,0.9051186298180257,0.925980446208389,Classical baseline,"2 Fourier pairs, iterated"
7,sd,Lagged linear regression,0.028807171439615736,0.018761667698551008,0.9800678443022788,0.9800678443022788,0.9856005181788199,Classical baseline,"lags [0, 1, 2, 3, 5, 7, 14, 30]"
7,sd,Seasonal AR with annual harmonics,0.027242869482605615,0.017099090642356155,0.9821738015918587,0.9821738015918587,0.9810257114643384,Classical baseline,"lags [0, 1, 2, 3, 5, 7, 14, 30], 2 harmonics"
7,sd,Exponential smoothing,0.043727667976702085,0.02175622645217261,0.9540732546205939,0.9540732546205939,0.9770274706471906,Classical baseline,alpha=0.95
7,sd,"SARIMAX(3, 0, 1) with Fourier seasonality",0.0300759677994641,0.021038507210228555,0.9782733754848513,0.9782733754848513,0.9850625199200129,Classical baseline,"2 Fourier pairs, iterated"
7,smlt_mm,Lagged linear regression,3.3074307715540083,1.588065512588614,0.5729449651487799,0.5729449651487799,0.6608821450911064,Classical baseline,"lags [0, 1, 2, 3, 5, 7, 14, 30]"
7,smlt_mm,Seasonal AR with annual harmonics,3.1239180375187448,1.7084245162109617,0.6190205218440362,0.6190205218440362,0.7087682819718617,Classical baseline,"lags [0, 1, 2, 3, 5, 7, 14, 30], 2 harmonics"
7,smlt_mm,Exponential smoothing,3.5477652711112873,1.179560936998489,0.5086261082042127,0.5086261082042127,0.7538347212378912,Classical baseline,alpha=0.95
7,smlt_mm,"SARIMAX(3, 0, 1) with Fourier seasonality",3.1037480967339173,1.6935810136641183,0.6239243163900638,0.6239243163900638,0.6890151113085274,Classical baseline,"2 Fourier pairs, iterated"
7,smlt_mm,"Degree-day, climatological target-date T",4.228191914338543,1.884438507736504,0.30207026144483906,0.30207026144483906,0.3255479142752672,Classical baseline,"Tb=-7.0 C, DDF=0.61 mm/C/day, issue-day snow gate"
7,smlt_mm,"Degree-day, observed target-date T (oracle)",3.92112624424633,1.8146147536067099,0.3997613299322048,0.3997613299322048,0.4946182196319614,Classical baseline,"Tb=-5.0 C, DDF=0.88 mm/C/day, target-day snow gate"
15,snowc,Lagged linear regression,24.83051537886259,14.32141648252207,0.7416889685575712,0.7416889685575712,0.7954228363276046,Classical baseline,"lags [0, 1, 2, 3, 5, 7, 14, 30]"
15,snowc,Seasonal AR with annual harmonics,19.257393896951456,12.731374146536325,0.8446302333950918,0.8446302333950918,0.8623167306196261,Classical baseline,"lags [0, 1, 2, 3, 5, 7, 14, 30], 2 harmonics"
15,snowc,Exponential smoothing,26.235291314459378,8.611154371530466,0.7116345215261606,0.7116345215261606,0.8557728493227096,Classical baseline,alpha=0.95
15,snowc,"SARIMAX(3, 0, 1) with Fourier seasonality",19.86845952896485,13.100863756658145,0.8346135679629012,0.8346135679629012,0.8735588111094434,Classical baseline,"2 Fourier pairs, iterated"
15,sd,Lagged linear regression,0.05831960711100858,0.0408570894290315,0.9183074945826272,0.9183074945826272,0.94304892435637,Classical baseline,"lags [0, 1, 2, 3, 5, 7, 14, 30]"
15,sd,Seasonal AR with annual harmonics,0.05162581079871215,0.03383441992167365,0.9359842545147121,0.9359842545147121,0.9458057748654255,Classical baseline,"lags [0, 1, 2, 3, 5, 7, 14, 30], 2 harmonics"
15,sd,Exponential smoothing,0.08517485858845386,0.04469466994367344,0.8257487593597728,0.8257487593597728,0.9128656175111436,Classical baseline,alpha=0.95
