threshold_C,tp,fp,fn,tn,precision,recall,specificity,balanced_accuracy,f1
-0.3999999999999986,3991,273,82,4032,0.9359756097560976,0.9798674195924381,0.9365853658536586,0.9582263927230483,0.9574187357562672
-0.2999999999999985,3997,296,76,4009,0.9310505474027486,0.9813405352320157,0.9312427409988385,0.9562916381154272,0.9555343055223523
-0.1999999999999984,4009,328,64,3977,0.9243716854968872,0.9842867665111711,0.9238095238095239,0.9540481451603475,0.9533888228299643
-0.09999999999999831,4018,353,55,3952,0.9192404484099749,0.9864964399705377,0.9180023228803716,0.9522493814254547,0.951681667456182
1.7763568394002505e-15,4027,379,46,3926,0.9139809350885156,0.9887061134299042,0.9119628339140534,0.9503344736719788,0.9498761646420569
0.10000000000000187,4036,406,37,3899,0.9085997298514182,0.9909157868892708,0.9056910569105691,0.94830342189992,0.9479741632413389
0.20000000000000195,4043,447,30,3858,0.9004454342984409,0.9926344218021115,0.8961672473867596,0.9444008345944355,0.9442952236365759
0.30000000000000204,4051,470,22,3835,0.896040698960407,0.9945985759882151,0.8908246225319396,0.9427115992600774,0.9427507563416337
0.40000000000000213,4053,502,20,3803,0.8897914379802415,0.995089614534741,0.8833914053426248,0.9392405099386829,0.9394993045897079
0.5000000000000022,4055,533,18,3772,0.8838273757628596,0.9955806530812669,0.8761904761904762,0.9358855646358715,0.9363814801985915
0.6000000000000023,4057,560,16,3745,0.8787091184752004,0.9960716916277927,0.8699186991869918,0.9329951954073923,0.9337169159953971
0.7000000000000024,4057,593,16,3712,0.8724731182795699,0.9960716916277927,0.862253193960511,0.9291624427941518,0.9301845695288318
0.8000000000000025,4060,620,13,3685,0.8675213675213675,0.9968082494475816,0.8559814169570267,0.9263948332023042,0.927681937621387
0.9000000000000026,4061,644,12,3661,0.8631243358129649,0.9970537687208446,0.8504065040650407,0.9237301363929427,0.9252677147413989
1.0000000000000027,4062,671,11,3634,0.8582294527783647,0.9972992879941075,0.8441347270615563,0.9207170075278319,0.922552804905746
1.1000000000000028,4062,699,11,3606,0.853182104599874,0.9972992879941075,0.837630662020906,0.9174649750075068,0.919628707267376
1.2000000000000028,4063,734,10,3571,0.8469877006462372,0.9975448072673705,0.8295005807200929,0.9135226939937318,0.9161217587373167
1.300000000000003,4064,768,9,3537,0.8410596026490066,0.9977903265406335,0.821602787456446,0.9096965569985398,0.9127456485120718
1.400000000000003,4065,801,8,3504,0.8353884093711468,0.9980358458138964,0.8139372822299652,0.9059865640219308,0.9094977066785993
1.500000000000003,4065,846,8,3459,0.8277336591325596,0.9980358458138964,0.8034843205574913,0.9007600831856939,0.9049421193232413
1.6000000000000032,4066,877,7,3428,0.822577382156585,0.9982813650871594,0.7962833914053427,0.897282378246251,0.9019520851818987
1.7000000000000033,4067,904,6,3401,0.8181452424059545,0.9985268843604223,0.7900116144018583,0.8942692493811403,0.8993808049535603
1.8000000000000034,4068,935,5,3370,0.8131121327203678,0.9987724036336852,0.7828106852497096,0.8907915444416974,0.8964301454385191
1.9000000000000035,4068,975,5,3330,0.8066627007733492,0.9987724036336852,0.7735191637630662,0.8861457836983757,0.8924967090829311
2.0000000000000036,4068,1007,5,3298,0.8015763546798029,0.9987724036336852,0.7660859465737514,0.8824291751037183,0.8893747267162222
2.1000000000000036,4069,1040,4,3265,0.7964376590330788,0.9990179229069482,0.7584204413472706,0.8787191821271094,0.8862992812023525
2.2000000000000037,4069,1071,4,3234,0.7916342412451361,0.9990179229069482,0.751219512195122,0.8751187175510351,0.8833170519917508
2.300000000000004,4069,1120,4,3185,0.7841587974561572,0.9990179229069482,0.7398373983739838,0.8694276606404661,0.8786439213992658
2.400000000000004,4069,1141,4,3164,0.7809980806142035,0.9990179229069482,0.734959349593496,0.8669886362502222,0.8766562533663688
2.500000000000004,4069,1161,4,3144,0.7780114722753346,0.9990179229069482,0.7303135888501742,0.8646657558785612,0.8747715790605182
2.600000000000004,4069,1194,4,3111,0.7731331939958199,0.9990179229069482,0.7226480836236934,0.8608330032653209,0.8716795201371038
2.700000000000004,4071,1225,2,3080,0.7686933534743202,0.9995089614534741,0.7154471544715447,0.8574780579625094,0.8690361831572205
2.8000000000000043,4072,1264,1,3041,0.7631184407796102,0.999754480726737,0.7063879210220674,0.8530712008744021,0.8655542565628653
2.9000000000000044,4072,1296,1,3009,0.7585692995529061,0.999754480726737,0.6989547038327526,0.8493545922797447,0.8626204851181019
3.0000000000000044,4072,1319,1,2986,0.7553329623446485,0.999754480726737,0.6936120789779326,0.8466832798523348,0.8605240912933221
3.1000000000000045,4072,1347,1,2958,0.7514301531647906,0.999754480726737,0.6871080139372823,0.8434312473320096,0.8579856721449641
3.2000000000000046,4072,1375,1,2930,0.7475674683311915,0.999754480726737,0.6806039488966318,0.8401792148116844,0.8554621848739495
3.3000000000000047,4072,1401,1,2904,0.7440160789329435,0.999754480726737,0.6745644599303136,0.8371594703285252,0.8531322019694113
3.400000000000005,4072,1436,1,2869,0.739288307915759,0.999754480726737,0.6664343786295006,0.8330944296781189,0.8500156559858053
3.500000000000005,4073,1470,0,2835,0.7348006494677972,1.0,0.6585365853658537,0.8292682926829269,0.8471297836938436
3.600000000000005,4073,1498,0,2807,0.731107521091366,1.0,0.6520325203252032,0.8260162601626015,0.8446702613023642
3.700000000000005,4073,1525,0,2780,0.7275812790282243,1.0,0.645760743321719,0.8228803716608595,0.8423120670044463
3.800000000000005,4073,1556,0,2749,0.7235743471309292,1.0,0.6385598141695703,0.8192799070847852,0.839620696763554
3.9000000000000052,4073,1587,0,2718,0.7196113074204947,1.0,0.6313588850174217,0.8156794425087108,0.8369464707695469
4.000000000000005,4073,1622,0,2683,0.715188762071993,1.0,0.6232288037166086,0.8116144018583042,0.833947583947584
4.100000000000005,4073,1656,0,2649,0.710944318380171,1.0,0.6153310104529617,0.8076655052264808,0.8310548867578045
4.2000000000000055,4073,1678,0,2627,0.708224656581464,1.0,0.6102206736353077,0.8051103368176539,0.8291938110749185
4.300000000000006,4073,1705,0,2600,0.7049151955694012,1.0,0.6039488966318235,0.8019744483159117,0.8269211247589077
4.400000000000006,4073,1748,0,2557,0.6997079539598007,1.0,0.5939605110336817,0.7969802555168408,0.8233272690519507
4.500000000000005,4073,1778,0,2527,0.6961203213125962,1.0,0.5869918699186992,0.7934959349593496,0.820838371624345
4.600000000000006,4073,1798,0,2507,0.6937489354454096,1.0,0.5823461091753774,0.7911730545876887,0.8191874497184232
4.700000000000006,4073,1826,0,2479,0.6904560094931345,1.0,0.5758420441347271,0.7879210220673636,0.8168872843963096
4.800000000000006,4073,1847,0,2458,0.6880067567567567,1.0,0.5709639953542393,0.7854819976771197,0.8151706194336035
4.900000000000006,4073,1866,0,2439,0.6858056911938036,1.0,0.5665505226480836,0.7832752613240418,0.8136236516180583
5.000000000000006,4073,1891,0,2414,0.6829309188464118,1.0,0.5607433217189315,0.7803716608594657,0.8115970907641726
5.100000000000007,4073,1911,0,2394,0.6806483957219251,1.0,0.5560975609756098,0.7780487804878049,0.8099830963508005
5.200000000000006,4073,1940,0,2365,0.6773657076334608,1.0,0.5493612078977933,0.7746806039488967,0.8076541741027167
5.300000000000006,4073,1960,0,2345,0.6751201723852146,1.0,0.5447154471544715,0.7723577235772358,0.8060558084306352
5.400000000000007,4073,1983,0,2322,0.672556142668428,1.0,0.5393728222996516,0.7696864111498258,0.8042254911639847
5.500000000000007,4073,2015,0,2290,0.6690210249671484,1.0,0.5319396051103368,0.7659698025551684,0.801692746776892
5.600000000000007,4073,2049,0,2256,0.6653054557334205,1.0,0.5240418118466899,0.7620209059233449,0.7990191270230506
5.700000000000006,4073,2069,0,2236,0.663139042657115,1.0,0.5193960511033682,0.7596980255516841,0.797454723445913
5.800000000000007,4073,2093,0,2212,0.6605578981511515,1.0,0.5138211382113821,0.756910569105691,0.7955855063971091
5.9000000000000075,4073,2119,0,2186,0.6577842377260982,1.0,0.5077816492450639,0.753890824622532,0.7935703848027277
6.000000000000007,4073,2139,0,2166,0.6556664520283323,1.0,0.5031358885017422,0.7515679442508711,0.7920272241127857
