horizon_days,target,method,RMSE,MAE,R2,NSE,KGE,RMSE_ci_low,RMSE_ci_high,R2_ci_low,R2_ci_high,block_len_days,bootstrap_draws
7,snowc,Training target-DOY climatology,18.158030254728526,7.460934299328838,0.8618633381852295,0.8618633381852295,0.8711861258682168,15.779196062577515,20.464174246536608,0.8241486006108282,0.895578981431303,7,2000
7,snowc,Lagged linear regression,16.689600693910883,7.436795040453583,0.8833020093704651,0.8833020093704651,0.9081592711936309,14.324051282898038,19.138311438902694,0.8460812034719545,0.9140177768830935,7,2000
7,snowc,Seasonal AR with annual harmonics,14.83940704869176,8.001108248044497,0.9077418840193308,0.9077418840193308,0.9203055683213373,13.036507311118076,16.68355424061309,0.8824801888528593,0.9286873277793488,7,2000
7,snowc,Exponential smoothing,17.075501779711942,4.487893012642721,0.8778429783947771,0.8778429783947771,0.9389020738951661,14.283546705033292,19.624343686839506,0.8376001870543343,0.9146915170797366,7,2000
7,snowc,"SARIMAX(3, 0, 1) with Fourier seasonality",15.048899118548865,8.061631342616403,0.9051186298180257,0.9051186298180257,0.925980446208389,13.152448755320618,16.980386572602512,0.8784688885325184,0.9274741723940124,7,2000
7,sd,CryoSENSE-HK (Extra Trees),0.023790116515968057,0.013265856998217708,0.9864060341486355,0.9864060341486355,0.9780188671329108,0.021475093595309417,0.025820536802815593,0.9834464604151192,0.9889914321449397,10,2000
7,sd,Persistence (issue-day t),0.04346077768133106,0.02160637453174842,0.9546321683194282,0.9546321683194282,0.9773078219763212,0.03816632446125427,0.048400562297591786,0.9408952817459929,0.9657253163996193,10,2000
7,sd,Training target-DOY climatology,0.12008767406205957,0.06594501278766234,0.6536223169301699,0.6536223169301699,0.6943000245654739,0.10530365619724888,0.13489611030236104,0.5500704842529013,0.7376697780811367,10,2000
7,sd,Lagged linear regression,0.028807171439615736,0.018761667698551008,0.9800678443022788,0.9800678443022788,0.9856005181788199,0.026432140101672868,0.03104669062610257,0.9760724277738327,0.9836005813983217,10,2000
7,sd,Seasonal AR with annual harmonics,0.027242869482605615,0.017099090642356155,0.9821738015918587,0.9821738015918587,0.9810257114643384,0.025077308615452234,0.029377492680261155,0.9786878460202221,0.9852891706487495,10,2000
7,sd,Exponential smoothing,0.043727667976702085,0.02175622645217261,0.9540732546205939,0.9540732546205939,0.9770274706471906,0.03850197446984087,0.048861867693850064,0.9392942380062882,0.965702009948121,10,2000
7,sd,"SARIMAX(3, 0, 1) with Fourier seasonality",0.0300759677994641,0.021038507210228555,0.9782733754848513,0.9782733754848513,0.9850625199200129,0.027812616668549024,0.03236280166484983,0.9733983987323036,0.9821096713498905,10,2000
7,smlt_mm,CryoSENSE-HK (XGBoost),2.0304901800662267,0.7514983011468281,0.8390451350240767,0.8390451350240767,0.7866666047332568,1.8057414132917928,2.261894432645772,0.7991732049535406,0.8689566547512751,5,2000
7,smlt_mm,Persistence (issue-day t),3.5524783483752302,1.1804378504978266,0.5073196962949029,0.5073196962949029,0.7536598481474514,3.080437716982726,3.993088473702915,0.3325758136238203,0.6370674234065722,5,2000
7,smlt_mm,Training target-DOY climatology,3.876038059339964,1.5764306591969912,0.4134859951450325,0.4134859951450325,0.6100363506942341,3.457625231958547,4.272331457357267,0.2602933716542066,0.5273768691832781,5,2000
7,smlt_mm,Lagged linear regression,3.3074307715540083,1.588065512588614,0.5729449651487799,0.5729449651487799,0.6608821450911064,2.923574351705879,3.6832752061108764,0.46418064571117446,0.6591722833790955,5,2000
