horizon_days,target,cell,selected_algorithm,n_train_local,n_test_local,RMSE_local,MAE_local,R2_local,NSE_local,KGE_local,R2_reference_learner,algorithm,n_train_cells,n_train_transfer,n_test_transfer,RMSE_transfer,MAE_transfer,R2_transfer,NSE_transfer,KGE_transfer,R2_transfer_loss,R2_learner_gap
1,snowc,59,Random Forest,19350,4018,4.700158257711828,1.014480098707295,0.9900767377689748,0.9900767381194768,0.993304114069856,0.9893048405647278,XGBoost,81,1567350,4018,4.7603037658703435,1.0639086961746216,0.9898211359977722,0.98982114,0.9923337715475126,-0.0005162954330444336,0.0007718972042469741
1,snowc,60,Random Forest,19350,4018,5.011579592351788,1.1360014042313296,0.9887411140801106,0.988741113758737,0.9919823302258354,0.9882033467292786,XGBoost,81,1567350,4018,5.055329884859244,1.1539061069488523,0.988543689250946,0.9885437,0.9921219167579703,-0.00034034252166748047,0.0005377673508319969
1,snowc,61,Random Forest,19350,4018,5.119450211119132,1.2209532193884631,0.9879020440164908,0.9879020425810258,0.9922914124186716,0.9868990182876588,XGBoost,81,1567350,4018,5.213489187956513,1.2566391229629517,0.9874535202980042,0.9874535,0.9916193036721744,-0.000554502010345348,0.001003025728832041
1,snowc,62,Random Forest,19350,4018,4.9666413706570465,1.1710860035581343,0.9885638346796198,0.9885638335057584,0.9928601712349292,0.9881083965301514,XGBoost,81,1567350,4018,5.010757318390963,1.3518449068069458,0.9883597493171692,0.98835975,0.9887912397838852,-0.00025135278701782227,0.00045543814946846783
1,snowc,63,Random Forest,19350,4018,4.488584757193051,0.9968856731155554,0.9913720263096332,0.9913720268479552,0.9936675464390862,0.990349531173706,XGBoost,81,1567350,4018,4.402722617417869,0.9901182055473328,0.9916989803314208,0.991699,0.993299769674625,-0.0013494491577147327,0.001022495135927115
1,snowc,64,Random Forest,19350,4018,4.225810627649477,0.8913558913999476,0.992287307015312,0.9922873070893844,0.994589474177321,0.991756796836853,XGBoost,81,1567350,4018,4.3045678650004495,0.991136372089386,0.9919971227645874,0.9919971,0.9933380900725438,-0.000240325927734375,0.0005305101784589539
1,snowc,65,Random Forest,19350,4018,4.171407640680038,0.8615205423360782,0.9924698255184796,0.9924698248816682,0.9948049796667092,0.992311716079712,XGBoost,81,1567350,4018,4.206093799700606,0.9912859201431274,0.992344081401825,0.9923441,0.9928261658403944,-3.236532211292609e-05,0.0001581094387675952
1,snowc,66,Random Forest,19350,4018,4.138722403278654,0.8797566339314079,0.9924957751020008,0.9924957757436368,0.9946861507176256,0.9918564558029176,XGBoost,81,1567350,4018,4.249800284685952,1.0200597047805786,0.9920875430107116,0.99208754,0.9926404609249688,-0.0002310872077939674,0.0006393192990832297
1,snowc,67,Random Forest,19350,4018,4.6364616891442205,0.9937756653174126,0.9907179188770248,0.9907179192214728,0.9939957982430072,0.9899946451187134,XGBoost,81,1567350,4018,4.655070520311402,1.0360183715820312,0.9906432628631592,0.99064326,0.9927290959366192,-0.0006486177444458008,0.0007232737583113824
1,snowc,68,Random Forest,19350,4018,5.084092172078343,1.1367501812777834,0.9885867076310316,0.9885867079705704,0.9929761094359516,0.988022804260254,XGBoost,81,1567350,4018,4.9992587493760405,1.1287349462509155,0.9889644384384156,0.98896444,0.992575301067552,-0.0009416341781616211,0.0005639033707776075
1,snowc,69,Random Forest,19350,4018,5.012187715163677,1.12037589835294,0.9886726005044204,0.9886725996867068,0.9927883960628788,0.9874601364135742,XGBoost,81,1567350,4018,5.067222935273012,1.1761884689331057,0.9884224534034728,0.98842245,0.9925092759152132,-0.0009623169898985706,0.0012124640908461881
1,snowc,70,Random Forest,19350,4018,5.137750908091169,1.216318282646543,0.9879944712619416,0.9879944717747354,0.9922806774209098,0.9874674677848816,XGBoost,81,1567350,4018,5.139718668619296,1.227260947227478,0.9879852533340454,0.98798525,0.991920863187184,-0.0005177855491638184,0.0005270034770600285
1,snowc,71,Random Forest,19350,4018,4.947304149877301,1.1953179186134557,0.9888780912876785,0.9888780918228556,0.9924039866955175,0.9876131415367126,XGBoost,81,1567350,4018,5.154036168034828,1.2301812171936035,0.9879291653633118,0.98792917,0.9920055112174708,-0.0003160238265991211,0.0012649497509658048
1,snowc,72,Random Forest,19350,4018,4.668998233210003,1.0671044711675837,0.990240748726765,0.9902407485697254,0.9925554742196052,0.9893571734428406,XGBoost,81,1567350,4018,4.812812497780684,1.1336276531219482,0.9896302819252014,0.9896303,0.9921940168059974,-0.00027310848236083984,0.0008835752839244648
1,snowc,73,Random Forest,19350,4018,4.776717362396487,1.093000839486418,0.9896669771916694,0.9896669764406104,0.9931103858109342,0.9896575808525084,XGBoost,81,1567350,4018,4.68254865451022,1.1563763618469238,0.9900704026222228,0.9900704,0.9917485614903464,-0.00041282176971435547,9.396339160971934e-06
1,snowc,74,Random Forest,19350,4018,4.843943502436307,1.2718993822602878,0.9883423700109848,0.98834236939272,0.9929014338765207,0.9879487752914428,XGBoost,81,1567350,4018,4.78758826908979,1.35022234916687,0.9886120557785034,0.98861206,0.9919928788496476,-0.0006632804870606579,0.0003935947195420342
