horizon_days,target,target_col,feature_group,rank,feature,MI_training,selected
1,sd,sd_h1,B_atmosphere_snowfall_memory,27,sp_hPa,0.20324395504854031,False
1,sd,sd_h1,B_atmosphere_snowfall_memory,28,strd_W,0.18358392866529005,False
1,sd,sd_h1,B_atmosphere_snowfall_memory,29,smlt_mm_lag7,0.1807389901655183,False
1,sd,sd_h1,B_atmosphere_snowfall_memory,30,ws,0.15588586297790563,False
1,sd,sd_h1,B_atmosphere_snowfall_memory,31,tp_mm,0.12600168660801891,False
1,sd,sd_h1,B_atmosphere_snowfall_memory,32,tp_mm_lag1,0.118445816380782,False
1,sd,sd_h1,B_atmosphere_snowfall_memory,33,tp_mm_lag3,0.09686209097220644,False
1,sd,sd_h1,B_atmosphere_snowfall_memory,34,tp_mm_lag7,0.09086264668405519,False
1,sd,sd_h1,C_full_reanalysis_state,1,sd_lag0,3.0087408417411496,True
1,sd,sd_h1,C_full_reanalysis_state,2,sd_lag1,2.509422556607533,True
1,sd,sd_h1,C_full_reanalysis_state,3,sd_lag3,2.001606344924121,True
1,sd,sd_h1,C_full_reanalysis_state,4,sd_lag7,1.6509027423349174,True
1,sd,sd_h1,C_full_reanalysis_state,5,sde_mm,1.6361009506007411,True
1,sd,sd_h1,C_full_reanalysis_state,6,snowc_lag0,1.1067213071154955,True
1,sd,sd_h1,C_full_reanalysis_state,7,rsn,1.0223514189952017,True
1,sd,sd_h1,C_full_reanalysis_state,8,snowc_lag1,0.9976027210654079,True
1,sd,sd_h1,C_full_reanalysis_state,9,ssro_mm,0.9749816071865443,True
1,sd,sd_h1,C_full_reanalysis_state,10,ro_mm,0.908697379984571,True
1,sd,sd_h1,C_full_reanalysis_state,11,snowc_lag3,0.8372544902889363,True
1,sd,sd_h1,C_full_reanalysis_state,12,doy_sin,0.8051704935196993,True
1,sd,sd_h1,C_full_reanalysis_state,13,sshf_W,0.788431476317295,False
1,sd,sd_h1,C_full_reanalysis_state,14,doy_cos,0.761112936033407,False
1,sd,sd_h1,C_full_reanalysis_state,15,snowc_lag7,0.7565813541166793,False
1,sd,sd_h1,C_full_reanalysis_state,16,t2m_C_lag7,0.6490372454668245,False
1,sd,sd_h1,C_full_reanalysis_state,17,t2m_C_lag3,0.6444074530382844,False
1,sd,sd_h1,C_full_reanalysis_state,18,t2m_C,0.6423498399944139,False
1,sd,sd_h1,C_full_reanalysis_state,19,t2m_C_lag1,0.6375478475332663,False
1,sd,sd_h1,C_full_reanalysis_state,20,e_mm,0.5861945403048869,False
1,sd,sd_h1,C_full_reanalysis_state,21,slhf_W,0.5695753907946486,False
1,sd,sd_h1,C_full_reanalysis_state,22,tsn_C,0.5577042195232194,False
1,sd,sd_h1,C_full_reanalysis_state,23,net_radiation_W,0.5224491602864667,False
1,sd,sd_h1,C_full_reanalysis_state,24,sro_mm,0.3815224537690627,False
1,sd,sd_h1,C_full_reanalysis_state,25,smlt_mm_lag1,0.3093577343382661,False
1,sd,sd_h1,C_full_reanalysis_state,26,sf_mm,0.2880756286564754,False
1,sd,sd_h1,C_full_reanalysis_state,27,sf_mm_lag1,0.27705077310474024,False
1,sd,sd_h1,C_full_reanalysis_state,28,sf_mm_lag3,0.27294528769090576,False
1,sd,sd_h1,C_full_reanalysis_state,29,ssrd_W,0.2706833811481699,False
1,sd,sd_h1,C_full_reanalysis_state,30,sf_mm_lag7,0.27017921583376037,False
1,sd,sd_h1,C_full_reanalysis_state,31,d2m_C,0.2644349729909994,False
1,sd,sd_h1,C_full_reanalysis_state,32,smlt_mm_lag3,0.23223864632461755,False
1,sd,sd_h1,C_full_reanalysis_state,33,sp_hPa,0.20310526095379178,False
1,sd,sd_h1,C_full_reanalysis_state,34,strd_W,0.18398580574634948,False
1,sd,sd_h1,C_full_reanalysis_state,35,smlt_mm_lag7,0.18225748082103532,False
1,sd,sd_h1,C_full_reanalysis_state,36,ws,0.1561298259345314,False
1,sd,sd_h1,C_full_reanalysis_state,37,tp_mm,0.12426089843738719,False
1,sd,sd_h1,C_full_reanalysis_state,38,tp_mm_lag1,0.11830125917214751,False
1,sd,sd_h1,C_full_reanalysis_state,39,tp_mm_lag3,0.09342337242136978,False
1,sd,sd_h1,C_full_reanalysis_state,40,tp_mm_lag7,0.09123428411806245,False
1,smlt_mm,smlt_mm_h1,A_atmosphere_energy,1,doy_sin,0.4001503973606084,True
1,smlt_mm,smlt_mm_h1,A_atmosphere_energy,2,doy_cos,0.39434859071481654,True
1,smlt_mm,smlt_mm_h1,A_atmosphere_energy,3,t2m_C,0.39268539837187433,True
1,smlt_mm,smlt_mm_h1,A_atmosphere_energy,4,sshf_W,0.26696093784401853,True
1,smlt_mm,smlt_mm_h1,A_atmosphere_energy,5,net_radiation_W,0.2561846157378209,True
1,smlt_mm,smlt_mm_h1,A_atmosphere_energy,6,e_mm,0.15608006580186107,True
1,smlt_mm,smlt_mm_h1,A_atmosphere_energy,7,slhf_W,0.1455715533761328,True
1,smlt_mm,smlt_mm_h1,A_atmosphere_energy,8,d2m_C,0.09725061048413153,True
1,smlt_mm,smlt_mm_h1,A_atmosphere_energy,9,ssrd_W,0.07438280128562802,True
1,smlt_mm,smlt_mm_h1,A_atmosphere_energy,10,ws,0.045399432725240274,True
1,smlt_mm,smlt_mm_h1,A_atmosphere_energy,11,strd_W,0.04386359822909469,True
1,smlt_mm,smlt_mm_h1,A_atmosphere_energy,12,tp_mm,0.02847748323267041,True
1,smlt_mm,smlt_mm_h1,A_atmosphere_energy,13,sp_hPa,0.026294077697112783,False
1,smlt_mm,smlt_mm_h1,B_atmosphere_snowfall_memory,1,smlt_mm_lag1,0.743754951553198,True
1,smlt_mm,smlt_mm_h1,B_atmosphere_snowfall_memory,2,sd_lag0,0.6095034695856532,True
1,smlt_mm,smlt_mm_h1,B_atmosphere_snowfall_memory,3,snowc_lag0,0.5758874796882667,True
1,smlt_mm,smlt_mm_h1,B_atmosphere_snowfall_memory,4,sd_lag1,0.565080486442465,True
1,smlt_mm,smlt_mm_h1,B_atmosphere_snowfall_memory,5,smlt_mm_lag3,0.5207511372112084,True
1,smlt_mm,smlt_mm_h1,B_atmosphere_snowfall_memory,6,snowc_lag1,0.5161274049156921,True
1,smlt_mm,smlt_mm_h1,B_atmosphere_snowfall_memory,7,sd_lag3,0.437519031947863,True
1,smlt_mm,smlt_mm_h1,B_atmosphere_snowfall_memory,8,snowc_lag3,0.4149293816423336,True
1,smlt_mm,smlt_mm_h1,B_atmosphere_snowfall_memory,9,doy_sin,0.39642464659384746,True
1,smlt_mm,smlt_mm_h1,B_atmosphere_snowfall_memory,10,t2m_C,0.3922218743927086,True
1,smlt_mm,smlt_mm_h1,B_atmosphere_snowfall_memory,11,doy_cos,0.39196814790990064,True
1,smlt_mm,smlt_mm_h1,B_atmosphere_snowfall_memory,12,t2m_C_lag1,0.36471861902325386,True
1,smlt_mm,smlt_mm_h1,B_atmosphere_snowfall_memory,13,smlt_mm_lag7,0.34298937192255874,False
1,smlt_mm,smlt_mm_h1,B_atmosphere_snowfall_memory,14,t2m_C_lag3,0.33010703576408673,False
1,smlt_mm,smlt_mm_h1,B_atmosphere_snowfall_memory,15,t2m_C_lag7,0.3097343372565309,False
1,smlt_mm,smlt_mm_h1,B_atmosphere_snowfall_memory,16,sd_lag7,0.28351072190265914,False
1,smlt_mm,smlt_mm_h1,B_atmosphere_snowfall_memory,17,sshf_W,0.267676856536335,False
1,smlt_mm,smlt_mm_h1,B_atmosphere_snowfall_memory,18,net_radiation_W,0.25614983097593935,False
1,smlt_mm,smlt_mm_h1,B_atmosphere_snowfall_memory,19,snowc_lag7,0.20176129826627065,False
1,smlt_mm,smlt_mm_h1,B_atmosphere_snowfall_memory,20,e_mm,0.15557474457743403,False
1,smlt_mm,smlt_mm_h1,B_atmosphere_snowfall_memory,21,slhf_W,0.14516341951542877,False
1,smlt_mm,smlt_mm_h1,B_atmosphere_snowfall_memory,22,d2m_C,0.09786724767536903,False
1,smlt_mm,smlt_mm_h1,B_atmosphere_snowfall_memory,23,ssrd_W,0.0749336038661017,False
1,smlt_mm,smlt_mm_h1,B_atmosphere_snowfall_memory,24,sf_mm,0.04757980496808578,False
1,smlt_mm,smlt_mm_h1,B_atmosphere_snowfall_memory,25,ws,0.04499666902826682,False
1,smlt_mm,smlt_mm_h1,B_atmosphere_snowfall_memory,26,strd_W,0.04452454191651789,False
1,smlt_mm,smlt_mm_h1,B_atmosphere_snowfall_memory,27,sf_mm_lag1,0.04001506013494183,False
1,smlt_mm,smlt_mm_h1,B_atmosphere_snowfall_memory,28,sf_mm_lag3,0.03243109794317256,False
1,smlt_mm,smlt_mm_h1,B_atmosphere_snowfall_memory,29,tp_mm,0.030321939519745378,False
1,smlt_mm,smlt_mm_h1,B_atmosphere_snowfall_memory,30,tp_mm_lag1,0.02763957664626826,False
1,smlt_mm,smlt_mm_h1,B_atmosphere_snowfall_memory,31,sp_hPa,0.026721686056831118,False
1,smlt_mm,smlt_mm_h1,B_atmosphere_snowfall_memory,32,tp_mm_lag7,0.02634352428342357,False
1,smlt_mm,smlt_mm_h1,B_atmosphere_snowfall_memory,33,tp_mm_lag3,0.023796359110451526,False
