model,scenario,period,temperature_change_C,snow_cover_change_pp,snow_water_equivalent_change_pct,snowmelt_change_pct,cmip6_own_swe_change_pct
ipsl_cm6a_lr,SSP2-4.5,Baseline (2015-2034),0.0,0.0,0.0,0.0,0.0
ipsl_cm6a_lr,SSP2-4.5,Mid-century (2041-2060),1.4062192299240088,-3.203105926513672,-11.423427207124693,-1.7643398641468244,-64.55403538158824
ipsl_cm6a_lr,SSP2-4.5,Late-century (2080-2099),2.397409805006367,-5.726707458496094,-13.038964050516554,0.37798702194069556,-77.91300039140103
ipsl_cm6a_lr,SSP5-8.5,Baseline (2015-2034),0.0,0.0,0.0,0.0,0.0
ipsl_cm6a_lr,SSP5-8.5,Mid-century (2041-2060),1.7999314546214835,-5.0367279052734375,-13.255683753148917,-5.2088062965923605,-65.97038462151514
ipsl_cm6a_lr,SSP5-8.5,Late-century (2080-2099),5.839072240388604,-13.816570281982422,-29.557042830126246,1.3318070997432097,-94.4147676889747
miroc6,SSP2-4.5,Baseline (2015-2034),0.0,0.0,0.0,0.0,0.0
miroc6,SSP2-4.5,Mid-century (2041-2060),0.9391316338772073,-1.0433807373046875,-3.9864307270801924,7.386169204906912,-18.781366633631123
miroc6,SSP2-4.5,Late-century (2080-2099),1.9093875415033352,-3.4489173889160156,-7.531173116984902,6.683561703713314,-64.45998649405503
miroc6,SSP5-8.5,Baseline (2015-2034),0.0,0.0,0.0,0.0,0.0
miroc6,SSP5-8.5,Mid-century (2041-2060),1.6074420294872889,-3.7322959899902344,-6.658495190733015,6.604704767780567,-67.14018501841997
miroc6,SSP5-8.5,Late-century (2080-2099),4.51435932269458,-8.237651824951172,-15.850077064829938,19.337835082114154,-95.29672451903397
miroc_es2l,SSP2-4.5,Baseline (2015-2034),0.0,0.0,0.0,0.0,0.0
miroc_es2l,SSP2-4.5,Mid-century (2041-2060),0.8900689664762327,-1.3931007385253906,-3.290638214868691,3.149652846664064,-70.2289523603587
miroc_es2l,SSP2-4.5,Late-century (2080-2099),1.9391998164043045,-4.500919342041016,-9.166455897628778,2.6888388873450797,-63.898774995299014
miroc_es2l,SSP5-8.5,Baseline (2015-2034),0.0,0.0,0.0,0.0,0.0
miroc_es2l,SSP5-8.5,Mid-century (2041-2060),0.8867403977327095,-2.38018798828125,-3.00831792351387,0.9558053012009626,-36.826356505880895
miroc_es2l,SSP5-8.5,Late-century (2080-2099),3.791739413393345,-7.443401336669922,-7.46312504380624,7.98388608207361,-82.54244006435478
mpi_esm1_2_lr,SSP2-4.5,Baseline (2015-2034),0.0,0.0,0.0,0.0,0.0
mpi_esm1_2_lr,SSP2-4.5,Mid-century (2041-2060),0.5019821143972631,-0.23422622680664062,-1.310960752764967,-8.357012937507113,13.134789627730559
mpi_esm1_2_lr,SSP2-4.5,Late-century (2080-2099),1.6541568974044818,-5.656124114990234,-10.69651991854138,-14.767922086031838,-75.68545441022701
mpi_esm1_2_lr,SSP5-8.5,Baseline (2015-2034),0.0,0.0,0.0,0.0,0.0
mpi_esm1_2_lr,SSP5-8.5,Mid-century (2041-2060),0.9542331647330666,-3.231658935546875,-4.1182124051587055,-10.969713627346744,1.0924237164400497
mpi_esm1_2_lr,SSP5-8.5,Late-century (2080-2099),3.645671732564919,-9.786975860595703,-19.212336041030674,-6.6841405085521615,-79.14766019929671
mri_esm2_0,SSP2-4.5,Baseline (2015-2034),0.0,0.0,0.0,0.0,0.0
mri_esm2_0,SSP2-4.5,Mid-century (2041-2060),0.8084117130232515,-1.0029830932617188,1.1881191500372923,9.668163345723446,-18.809404494299397
mri_esm2_0,SSP2-4.5,Late-century (2080-2099),1.5253996984804692,-4.007850646972656,-7.000638273635563,4.053505255030898,-39.47533034459173
mri_esm2_0,SSP5-8.5,Baseline (2015-2034),0.0,0.0,0.0,0.0,0.0
mri_esm2_0,SSP5-8.5,Mid-century (2041-2060),1.5614456355450166,-4.3884124755859375,-12.177879773329748,7.328746834793276,-58.303766810545234
mri_esm2_0,SSP5-8.5,Late-century (2080-2099),3.701757027865594,-8.835628509521484,-23.32119202999404,2.688870480941885,-83.95706812051323
noresm2_mm,SSP2-4.5,Baseline (2015-2034),0.0,0.0,0.0,0.0,0.0
noresm2_mm,SSP2-4.5,Mid-century (2041-2060),0.8153166048825442,-2.1560325622558594,-10.130818747929116,-8.894031977477134,-44.93033185588444
noresm2_mm,SSP2-4.5,Late-century (2080-2099),1.5459625905131134,-2.8455581665039062,-15.750882248285125,8.398544313664535,-52.30271933080542
noresm2_mm,SSP5-8.5,Baseline (2015-2034),0.0,0.0,0.0,0.0,0.0
noresm2_mm,SSP5-8.5,Mid-century (2041-2060),1.3235050804533444,-2.1251564025878906,-8.061466706496677,3.9948317086997642,-35.131822842347916
noresm2_mm,SSP5-8.5,Late-century (2080-2099),3.9856609555153852,-7.803638458251953,-24.03328546479574,18.19982856239484,-93.95514715830886
taiesm1,SSP2-4.5,Baseline (2015-2034),0.0,0.0,0.0,0.0,0.0
taiesm1,SSP2-4.5,Mid-century (2041-2060),1.491197971326903,-5.169029235839844,-11.568099735199333,-10.615701679732926,-22.156726141578787
taiesm1,SSP2-4.5,Late-century (2080-2099),3.009818597876027,-7.715293884277344,-20.399035549010303,-6.220670086216307,-89.62129964057287
taiesm1,SSP5-8.5,Baseline (2015-2034),0.0,0.0,0.0,0.0,0.0
taiesm1,SSP5-8.5,Mid-century (2041-2060),2.144694674594107,-5.4036407470703125,-18.31162682437829,13.607981305767613,-32.30326078754505
taiesm1,SSP5-8.5,Late-century (2080-2099),5.451779693994047,-13.747575759887695,-33.678313353621625,13.250146286209885,-88.55297252710123
