horizon_days,target,cell,algorithm,n_train_cells,n_train,n_test,RMSE,MAE,R2,NSE,KGE
1,snowc,47,XGBoost,81,1567350,4018,4.717550769526654,0.8981786370277405,0.990317702293396,0.9903177,0.9939296165636732
1,snowc,48,XGBoost,81,1567350,4018,4.730344964446675,0.9622542262077332,0.9901558756828308,0.9901559,0.9938471962159641
1,snowc,49,XGBoost,81,1567350,4018,4.812985284291004,1.07020902633667,0.9896005988121033,0.9896006,0.9923878460052282
1,snowc,50,XGBoost,81,1567350,4018,4.929923509851677,1.1701520681381226,0.9889445304870605,0.98894453,0.9920947756940476
1,snowc,51,XGBoost,81,1567350,4018,4.4941851876050105,0.9452939629554749,0.9913538098335266,0.9913538,0.9934916715619462
1,snowc,52,XGBoost,81,1567350,4018,4.535041433058859,0.9911713004112244,0.9910643100738525,0.9910643,0.9929858586355719
1,snowc,53,XGBoost,81,1567350,4018,4.73595137837943,1.0261316299438477,0.9902210831642151,0.9902211,0.9930764283969686
1,snowc,54,XGBoost,81,1567350,4018,4.832664355755593,1.0144697427749634,0.9899049997329712,0.989905,0.9929627849133871
1,snowc,55,XGBoost,81,1567350,4018,4.616336234119047,0.9272283315658569,0.9909135699272156,0.99091357,0.9931741300238291
1,snowc,56,XGBoost,81,1567350,4018,4.497661194724896,0.8975194692611694,0.9913766980171204,0.9913767,0.9930225943853098
1,snowc,57,XGBoost,81,1567350,4018,4.501566720131005,0.9182206392288208,0.9913223385810852,0.99132234,0.9929232727157467
1,snowc,58,XGBoost,81,1567350,4018,4.611897234311875,0.965660035610199,0.990641713142395,0.9906417,0.9933618959672976
1,snowc,59,XGBoost,81,1567350,4018,4.7603037658703435,1.0639086961746216,0.9898211359977722,0.98982114,0.9923337715475126
1,snowc,60,XGBoost,81,1567350,4018,5.055329884859244,1.1539061069488525,0.988543689250946,0.9885437,0.9921219167579705
1,snowc,61,XGBoost,81,1567350,4018,5.213489187956513,1.2566391229629517,0.9874535202980042,0.9874535,0.9916193036721743
1,snowc,62,XGBoost,81,1567350,4018,5.010757318390963,1.3518449068069458,0.9883597493171692,0.98835975,0.9887912397838853
1,snowc,63,XGBoost,81,1567350,4018,4.402722617417869,0.9901182055473328,0.9916989803314209,0.991699,0.993299769674625
1,snowc,64,XGBoost,81,1567350,4018,4.3045678650004495,0.991136372089386,0.9919971227645874,0.9919971,0.9933380900725438
1,snowc,65,XGBoost,81,1567350,4018,4.206093799700606,0.9912859201431274,0.992344081401825,0.9923441,0.9928261658403944
1,snowc,66,XGBoost,81,1567350,4018,4.249800284685952,1.0200597047805786,0.9920875430107117,0.99208754,0.9926404609249687
1,snowc,67,XGBoost,81,1567350,4018,4.655070520311402,1.0360183715820312,0.9906432628631592,0.99064326,0.9927290959366192
1,snowc,68,XGBoost,81,1567350,4018,4.9992587493760405,1.1287349462509155,0.9889644384384155,0.98896444,0.992575301067552
1,snowc,69,XGBoost,81,1567350,4018,5.067222935273012,1.1761884689331055,0.9884224534034729,0.98842245,0.9925092759152132
1,snowc,70,XGBoost,81,1567350,4018,5.139718668619296,1.227260947227478,0.9879852533340454,0.98798525,0.991920863187184
1,snowc,71,XGBoost,81,1567350,4018,5.154036168034828,1.2301812171936035,0.9879291653633118,0.98792917,0.9920055112174709
1,snowc,72,XGBoost,81,1567350,4018,4.812812497780684,1.1336276531219482,0.9896302819252014,0.9896303,0.9921940168059974
1,snowc,73,XGBoost,81,1567350,4018,4.68254865451022,1.1563763618469238,0.9900704026222229,0.9900704,0.9917485614903463
1,snowc,74,XGBoost,81,1567350,4018,4.78758826908979,1.3502223491668701,0.9886120557785034,0.98861206,0.9919928788496477
1,snowc,75,XGBoost,81,1567350,4018,5.2343190659907926,1.4081850051879883,0.9872554540634155,0.98725545,0.9907984917471165
1,snowc,76,XGBoost,81,1567350,4018,5.503340660258236,1.486057162284851,0.985811710357666,0.9858117,0.9904933119508885
1,snowc,77,XGBoost,81,1567350,4018,4.936811761331526,1.2956700325012207,0.9887853264808655,0.9887853,0.991437438788029
1,snowc,78,XGBoost,81,1567350,4018,4.623580302321105,1.1650031805038452,0.9903151392936707,0.99031514,0.9924262288169398
1,snowc,79,XGBoost,81,1567350,4018,4.534657427078371,1.2308197021484375,0.9901633262634277,0.9901633,0.9926438547409706
1,snowc,80,XGBoost,81,1567350,4018,5.15276352890983,1.4524519443511963,0.9873754382133484,0.98737544,0.9906340399602113
1,snowc,81,XGBoost,81,1567350,4018,5.060708188040677,1.4421026706695557,0.9876405000686646,0.9876405,0.9910277835068416
1,sd,0,XGBoost,81,1567350,4018,0.0023710131098288547,0.0009764271089807153,0.9868183732032776,0.9868184,0.9093268044694369
1,sd,1,XGBoost,81,1567350,4018,0.0033684670575771848,0.0013912301510572433,0.9971253275871277,0.9971253,0.9890254390677271
1,sd,2,XGBoost,81,1567350,4018,0.0035264182464977054,0.001506798667833209,0.9961606860160828,0.9961607,0.983190212125249
