horizon_days,target,algorithm,settings,is_published,valid_RMSE,test_R2,test_RMSE
7,sd,Extra Trees,"n_estimators=200, max_depth=18, min_samples_leaf=1",False,0.026020994795459135,0.9850577011762985,0.024942052582293983
7,sd,Extra Trees,"n_estimators=200, max_depth=18, min_samples_leaf=2",False,0.02583593455254662,0.9852207538504864,0.024805593529228353
7,sd,Extra Trees,"n_estimators=200, max_depth=18, min_samples_leaf=5",False,0.02544312025379201,0.9857488399537857,0.02435839060702924
7,smlt_mm,XGBoost,"n_estimators=120, max_depth=3, learning_rate=0.03",False,2.2475417431455433,0.8157843072392712,2.172261731026356
7,smlt_mm,XGBoost,"n_estimators=120, max_depth=3, learning_rate=0.06",False,2.1918099385606684,0.82901791801448,2.0927827163262394
7,smlt_mm,XGBoost,"n_estimators=120, max_depth=3, learning_rate=0.12",False,2.1654259673471516,0.8322450056895767,2.0729392213213753
7,smlt_mm,XGBoost,"n_estimators=120, max_depth=4, learning_rate=0.03",False,2.1875535038723983,0.8250816883350707,2.1167349365146597
7,smlt_mm,XGBoost,"n_estimators=120, max_depth=4, learning_rate=0.06",False,2.156125454673422,0.831431802527985,2.0779575003958626
7,smlt_mm,XGBoost,"n_estimators=120, max_depth=4, learning_rate=0.12",False,2.172887102536196,0.8297442279705185,2.0883330496028245
7,smlt_mm,XGBoost,"n_estimators=120, max_depth=6, learning_rate=0.03",False,2.1652009223370277,0.8257313015633101,2.112800705572193
7,smlt_mm,XGBoost,"n_estimators=120, max_depth=6, learning_rate=0.06",False,2.174411975125505,0.8278993524505645,2.0996170540408894
7,smlt_mm,XGBoost,"n_estimators=120, max_depth=6, learning_rate=0.12",False,2.1890446182228143,0.8103676408196353,2.2039668778518817
7,smlt_mm,XGBoost,"n_estimators=180, max_depth=3, learning_rate=0.03",False,2.207372413179306,0.826444506488247,2.108472892335298
7,smlt_mm,XGBoost,"n_estimators=180, max_depth=3, learning_rate=0.06",False,2.1788107386671602,0.8313852679255684,2.0782442990180225
7,smlt_mm,XGBoost,"n_estimators=180, max_depth=3, learning_rate=0.12",False,2.158005552366456,0.8296488310046677,2.0889180304685286
7,smlt_mm,XGBoost,"n_estimators=180, max_depth=4, learning_rate=0.03",False,2.164411252868354,0.830624708958356,2.0829261228417018
7,smlt_mm,XGBoost,"n_estimators=180, max_depth=4, learning_rate=0.06",True,2.1507113322468174,0.8299809971211497,2.0868804560696064
7,smlt_mm,XGBoost,"n_estimators=180, max_depth=4, learning_rate=0.12",False,2.1966079837157135,0.8257204887027078,2.112866251092855
7,smlt_mm,XGBoost,"n_estimators=180, max_depth=6, learning_rate=0.03",False,2.1509688416095925,0.8284893602788244,2.096014934968618
7,smlt_mm,XGBoost,"n_estimators=180, max_depth=6, learning_rate=0.06",False,2.194686902698599,0.8241377908809876,2.1224384347972687
7,smlt_mm,XGBoost,"n_estimators=180, max_depth=6, learning_rate=0.12",False,2.2141514772549504,0.8033565611859379,2.2443395856732997
7,smlt_mm,XGBoost,"n_estimators=300, max_depth=3, learning_rate=0.03",False,2.1851097084440605,0.8303836694477077,2.0844077114284096
7,smlt_mm,XGBoost,"n_estimators=300, max_depth=3, learning_rate=0.06",False,2.1721296794274076,0.8312581869650991,2.0790273134516313
7,smlt_mm,XGBoost,"n_estimators=300, max_depth=3, learning_rate=0.12",False,2.1795341098087007,0.825396628770993,2.1148284872655165
7,smlt_mm,XGBoost,"n_estimators=300, max_depth=4, learning_rate=0.03",False,2.169351091803375,0.8311712853629868,2.0795625914181963
7,smlt_mm,XGBoost,"n_estimators=300, max_depth=4, learning_rate=0.06",False,2.1660540897521208,0.8265907687460223,2.1075842572364163
