time;t2m_C;d2m_C;tsn_C;sp_hPa;ws;wd;snowc;sd;rsn;sde_mm;tp_mm;e_mm;sro_mm;ro_mm;ssro_mm;smlt_mm;sf_mm;ssr_W;ssrd_W;str_W;strd_W;slhf_W;sshf_W
1950-03-09;-7.7983727;-9.320767;-5.440735;739.0595;2.0302145;211.40819;100.0;0.62029666;282.72656;2195.5566;6.6927223;-0.24875718;0.0;0.09843707;0.09843707;0.0;6.6763573;1075.7859;4515.7544;-632.5306;5928.0137;-195.40666;-475.2322
1950-03-10;-6.0268617;-7.0684676;-5.4171433;740.998;1.3651031;209.07768;100.0;0.6322227;280.8893;2250.4475;14.816642;-0.13309717;0.0;0.09801984;0.09801984;0.0;14.807675;665.29474;2833.456;-215.51445;6511.0005;-104.50389;-279.6189
1950-03-11;-4.625357;-5.9835677;-4.7054;743.4604;0.84435266;208.07622;100.0;0.64297175;280.03287;2298.2178;3.3278406;-0.1226766;0.0;0.097602606;0.097595155;0.0;3.3232422;1060.5056;4545.01;-679.5639;6077.76;-95.99778;-272.4289
1950-03-12;-4.130066;-10.548625;-5.9443054;746.41364;0.97882223;104.89597;100.0;0.6434483;287.95605;2236.9385;0.0014960765;-0.07808581;0.0;0.09718537;0.09718537;0.0;0.0006556511;1490.87;6226.371;-1786.6283;4587.693;-60.605556;-218.71666
1950-03-13;-3.0458477;-12.773534;-8.3463335;748.24347;1.0863167;76.68975;100.0;0.6434007;294.25977;2188.3953;0.0025749195;-0.049185008;0.0;0.09676814;0.09678304;0.0;0.0;1540.7448;6262.968;-1606.405;4625.1885;-37.854443;-148.93889
1950-03-14;-2.9818928;-14.123886;-8.831981;748.12225;1.1052908;70.382225;100.0;0.64334947;299.47983;2150.1465;0.00042617318;-0.07111393;0.0;0.09636581;0.09637326;0.0;0.0;1507.0309;5970.029;-1553.0472;4699.653;-55.11;-137.27667
1950-03-15;-3.743632;-16.01209;-10.046936;748.11835;1.0740799;51.639866;100.0;0.64330083;304.01498;2117.513;0.0012857681;-0.05125627;0.0;0.09596348;0.09597093;0.0;0.0;1667.0297;6434.37;-1730.6603;4369.434;-39.494446;-127.05666
1950-03-16;-4.2718606;-13.501477;-10.53597;749.0467;1.2882154;36.703075;100.0;0.6432698;307.98633;2089.803;0.0;-0.030432828;0.0;0.09556115;0.0955686;0.0;0.0;1714.7722;6455.533;-1711.4586;4386.7065;-23.233334;-129.98889
1950-03-17;-4.200792;-13.683475;-10.748271;746.65405;1.0892943;53.59637;100.0;0.64325;311.63672;2065.918;0.0004351138;-0.02926495;0.0;0.09517372;0.09517372;0.0;0.0;1772.3269;6512.2217;-1677.7556;4433.283;-22.312222;-143.93083
1950-03-18;-4.439695;-10.380269;-10.375594;745.26337;0.94002634;84.29861;100.0;0.64324886;315.10092;2043.0094;0.18107593;-0.02149865;0.0;0.094771385;0.094778836;0.0;0.15986711;1660.3641;5960.0767;-1360.7278;4857.8364;-16.993334;-158.35777
1950-03-19;-4.5309854;-7.8359604;-9.086013;747.14984;0.9207842;178.1606;100.0;0.6442939;317.52768;2030.6803;1.12454;-0.09420887;0.0;0.094398856;0.094383955;0.0;1.059398;1609.4059;5762.8047;-1243.1875;5107.229;-74.28445;-216.84
1950-03-20;-4.5048957;-11.477551;-8.33403;747.99567;0.9480433;50.216503;100.0;0.6444749;321.05533;2008.8297;0.00860095;-0.051378272;0.0;0.093996525;0.093996525;0.0;0.0077597797;1864.9442;6551.2246;-1669.0723;4708.11;-40.491665;-230.11945
1950-03-21;-4.0066223;-12.462846;-8.994212;746.8164;1.0052685;71.53566;100.0;0.64442354;324.59732;1986.5723;0.0012784867;-0.06306637;0.0;0.093609095;0.093616545;0.0;0.0;1959.0575;6722.447;-1862.9142;4378.554;-49.684444;-189.29333
1950-03-22;-3.3744304;-12.608422;-8.356761;746.69794;1.0056664;100.788704;100.0;0.64433116;327.94174;1966.3492;0.002488494;-0.12234133;0.0;0.093236566;0.093236566;0.0;8.940697e-05;1790.0906;6004.967;-1389.555;5030.3765;-96.30334;-171.41667
1950-03-23;-2.6919453;-9.827138;-7.585748;747.8007;0.94266206;101.903404;100.0;0.644242;331.33725;1945.5973;0.00085603545;-0.06184168;0.0;0.092849135;0.09286404;0.0;0.0;2022.2433;6640.2495;-1679.1128;4750.3296;-48.712223;-172.53612
1950-03-24;-2.5778809;-9.580943;-6.6851196;747.00854;0.9598164;90.91265;100.0;0.6441589;334.7819;1925.3744;0.0025153158;-0.112516806;0.0;0.09247661;0.09248406;0.0;0.00037252903;2015.7289;6479.8667;-1529.0355;5003.9653;-88.60889;-176.24777
1950-03-25;-1.9471334;-7.34552;-4.756531;744.4112;0.8902294;167.50987;100.0;0.64525384;337.34766;1913.8998;2.2579372;-0.1812689;0.0;0.09211898;0.09211153;0.0;1.932837;1771.7478;5705.8154;-1026.4623;5817.489;-142.69556;-202.85667
